tokenId ,itemData,orgCnt,purCnt, blueCnt, grayCnt  ,specialCnt,weaponCnt,spark,score 
1,1461256809314525970945,0,2,2,5,0,0,0,21 
2,336667170686959616257,0,1,3,5,0,0,0,19 
3,703071034668613042688,0,1,1,7,0,0,0,15 
4,1018260798216379761152,0,0,6,3,0,0,0,21 
5,739895555949079168001,0,1,3,5,0,0,0,19 
6,888063430634900947968,1,0,3,5,0,0,0,24 
7,19537482698593992960,0,0,0,9,0,0,0,9 
8,245721485308961817089,0,1,0,8,0,0,0,13 
9,996130947475157091328,0,1,2,6,0,0,0,17 
10,298547287270237799168,0,2,3,4,0,0,0,23 
11,1829421018898932237312,1,1,2,5,0,0,0,26 
12,431349429782630892544,2,1,1,5,0,0,1,83 
13,1236305111886879523072,0,2,2,4,1,0,0,21 
14,1034119100603281376256,0,1,4,4,0,0,0,21 
15,318860506207848301057,0,1,1,7,0,0,0,15 
16,781623927676543894272,3,0,3,3,0,0,1,92 
17,885887907240631403008,0,0,2,7,0,0,0,13 
18,739101237962110206208,0,0,1,8,0,0,0,11 
19,924144005855037620993,0,0,2,7,0,0,0,13 
20,504623016611525755649,1,0,1,7,0,0,0,20 
21,168555123742689788928,0,0,2,7,0,0,0,13 
22,1220451314160479306240,0,1,3,5,0,0,0,19 
23,333701542635469472512,0,1,1,7,0,0,0,15 
24,408569669813444870912,0,1,1,7,0,0,0,15 
25,628067242048733315585,0,0,1,8,0,0,0,11 
26,352805813354806903553,0,1,2,6,0,0,0,17 
27,1590399224075499340544,0,2,2,5,0,0,0,21 
28,1439354123173696701440,1,1,0,7,0,0,0,22 
29,701705017914032652544,1,0,0,8,0,0,0,18 
30,1718939844237257605633,1,0,1,7,0,0,0,20 
31,482942969479535591937,0,0,2,7,0,0,0,13 
32,92454966297916473600,0,1,1,7,0,0,0,15 
33,704027482241060176128,0,1,4,4,0,0,0,21 
34,1479778701709039436544,0,3,2,4,0,0,0,25 
35,1018326950332911256065,0,0,3,6,0,0,0,15 
36,816708384943931523585,0,1,3,5,0,0,0,19 
37,704016217743712388096,0,1,2,6,0,0,0,17 
38,892021505368405836032,2,1,1,5,0,0,0,33 
39,874158283111881114112,2,1,2,4,0,0,0,35 
40,185632485458001134592,0,1,3,5,0,0,0,19 
41,704152739705208112128,0,0,4,5,0,0,0,17 
42,95276478061366280449,0,1,2,6,0,0,0,17 
43,830624800262633095424,0,1,1,7,0,0,0,15 
44,583520717522732033,0,1,1,7,0,0,0,15 
45,356182960020465779712,0,1,2,6,0,0,0,17 
46,1239774571311632154880,0,2,3,4,0,0,0,23 
47,449733705103661662977,1,1,0,7,0,0,0,22 
48,353962672210217141248,0,1,3,5,0,0,0,19 
49,556791865871857681409,0,1,2,6,0,0,0,17 
50,1593489543350551314689,1,1,0,6,1,0,0,22 
51,1072667097563656487424,0,1,3,5,0,0,0,19 
52,889997709082318406400,0,2,2,5,0,0,0,21 
53,922339752354303771649,0,0,3,6,0,0,0,15 
54,29130078408763574386945,0,1,1,6,0,1,0,29 
55,110699910406450250753,1,1,0,7,0,0,0,22 
56,130582445142238101761,1,1,1,6,0,0,0,24 
57,833212114950240404480,0,1,2,6,0,0,0,17 
58,1663904143752630174464,2,3,1,3,0,0,0,41 
59,906643865426960122113,0,1,4,4,0,0,0,21 
60,520472592174453162240,0,0,2,7,0,0,0,13 
61,24517042218467918336,0,3,1,5,0,0,0,23 
62,610916393374267736320,0,1,1,7,0,0,0,15 
63,1330689575916866568961,0,1,3,5,0,0,0,19 
64,59526905319331005185,0,0,3,6,0,0,0,15 
65,317061034482260377856,1,0,2,6,0,0,0,22 
66,316913244726761095424,1,0,2,6,0,0,1,72 
67,891219885525622588416,0,1,2,6,0,0,0,17 
68,1515083553884097348097,0,1,3,5,0,0,0,19 
69,1257777973605827937280,1,3,2,3,0,0,0,34 
70,370680048320852132609,0,0,3,6,0,0,0,15 
71,870973386052644438785,0,0,4,5,0,0,0,17 
72,428243655780662313728,0,0,1,8,0,0,0,11 
73,519900066573896450305,0,0,1,8,0,0,0,11 
74,1331776914850606154752,0,1,3,5,0,0,0,19 
75,1588588492252204565505,0,1,2,6,0,0,0,17 
76,612940499723540169729,0,1,3,5,0,0,0,19 
